session_id,event_type,location,occurred_at_jst
8179d58a-dbc6-4b82-adfd-f08f26da7958,method,Library.__init__,2025/12/19 13:22:25
8179d58a-dbc6-4b82-adfd-f08f26da7958,method,Library.borrow_book,2025/12/19 13:22:05
8179d58a-dbc6-4b82-adfd-f08f26da7958,method,Library.__init__,2025/12/19 13:21:58
8179d58a-dbc6-4b82-adfd-f08f26da7958,file,library.py,2025/12/19 13:21:57
8179d58a-dbc6-4b82-adfd-f08f26da7958,method,Member.__init__,2025/12/19 13:21:50
8179d58a-dbc6-4b82-adfd-f08f26da7958,file,member.py,2025/12/19 13:21:48
8179d58a-dbc6-4b82-adfd-f08f26da7958,method,Book.__init__,2025/12/19 13:21:45
8179d58a-dbc6-4b82-adfd-f08f26da7958,file,book.py,2025/12/19 13:21:44
8179d58a-dbc6-4b82-adfd-f08f26da7958,file,main.py,2025/12/19 13:21:38
8179d58a-dbc6-4b82-adfd-f08f26da7958,method,Book.__init__,2025/12/19 13:21:34
8179d58a-dbc6-4b82-adfd-f08f26da7958,file,book.py,2025/12/19 13:21:33
8179d58a-dbc6-4b82-adfd-f08f26da7958,method,Member.__init__,2025/12/19 13:21:31
8179d58a-dbc6-4b82-adfd-f08f26da7958,file,member.py,2025/12/19 13:21:30
8179d58a-dbc6-4b82-adfd-f08f26da7958,method,Library.__init__,2025/12/19 13:21:29
8179d58a-dbc6-4b82-adfd-f08f26da7958,method,Library.borrow_book,2025/12/19 13:21:13
8179d58a-dbc6-4b82-adfd-f08f26da7958,method,Library.add_book,2025/12/19 13:20:45
8179d58a-dbc6-4b82-adfd-f08f26da7958,method,Library.__init__,2025/12/19 13:20:32
8179d58a-dbc6-4b82-adfd-f08f26da7958,file,library.py,2025/12/19 13:20:31
8179d58a-dbc6-4b82-adfd-f08f26da7958,method,Member.__init__,2025/12/19 13:20:20
8179d58a-dbc6-4b82-adfd-f08f26da7958,file,member.py,2025/12/19 13:20:19
8179d58a-dbc6-4b82-adfd-f08f26da7958,method,Library.borrow_book,2025/12/19 13:20:13
8179d58a-dbc6-4b82-adfd-f08f26da7958,method,Library.add_book,2025/12/19 13:20:06
8179d58a-dbc6-4b82-adfd-f08f26da7958,method,Library.borrow_book,2025/12/19 13:19:29
8179d58a-dbc6-4b82-adfd-f08f26da7958,file,library.py,2025/12/19 13:19:27
8179d58a-dbc6-4b82-adfd-f08f26da7958,file,member.py,2025/12/19 13:19:27
8179d58a-dbc6-4b82-adfd-f08f26da7958,file,member.py,2025/12/19 13:19:24
8179d58a-dbc6-4b82-adfd-f08f26da7958,file,main.py,2025/12/19 13:19:10
8179d58a-dbc6-4b82-adfd-f08f26da7958,method,Library.return_book,2025/12/19 13:18:44
8179d58a-dbc6-4b82-adfd-f08f26da7958,file,library.py,2025/12/19 13:18:39
8179d58a-dbc6-4b82-adfd-f08f26da7958,file,book.py,2025/12/19 13:18:37
8179d58a-dbc6-4b82-adfd-f08f26da7958,method,Library.return_book,2025/12/19 13:17:53
8179d58a-dbc6-4b82-adfd-f08f26da7958,file,library.py,2025/12/19 13:17:51
8179d58a-dbc6-4b82-adfd-f08f26da7958,method,Member.__init__,2025/12/19 13:17:40
8179d58a-dbc6-4b82-adfd-f08f26da7958,file,member.py,2025/12/19 13:17:39
8179d58a-dbc6-4b82-adfd-f08f26da7958,method,Library.return_book,2025/12/19 13:17:30
8179d58a-dbc6-4b82-adfd-f08f26da7958,file,library.py,2025/12/19 13:17:28
8179d58a-dbc6-4b82-adfd-f08f26da7958,file,member.py,2025/12/19 13:17:25
8179d58a-dbc6-4b82-adfd-f08f26da7958,method,Library.return_book,2025/12/19 13:17:14
8179d58a-dbc6-4b82-adfd-f08f26da7958,file,library.py,2025/12/19 13:17:11
8179d58a-dbc6-4b82-adfd-f08f26da7958,file,member.py,2025/12/19 13:17:04
8179d58a-dbc6-4b82-adfd-f08f26da7958,method,Library.return_book,2025/12/19 13:15:40
8179d58a-dbc6-4b82-adfd-f08f26da7958,file,library.py,2025/12/19 13:15:36
8179d58a-dbc6-4b82-adfd-f08f26da7958,file,main.py,2025/12/19 13:15:15
8179d58a-dbc6-4b82-adfd-f08f26da7958,method,Library.return_book,2025/12/19 13:14:54
8179d58a-dbc6-4b82-adfd-f08f26da7958,file,library.py,2025/12/19 13:14:53
8179d58a-dbc6-4b82-adfd-f08f26da7958,file,member.py,2025/12/19 13:14:51
8179d58a-dbc6-4b82-adfd-f08f26da7958,file,main.py,2025/12/19 13:14:42
8179d58a-dbc6-4b82-adfd-f08f26da7958,method,Library.borrow_book,2025/12/19 13:12:52
8179d58a-dbc6-4b82-adfd-f08f26da7958,method,Library.add_member,2025/12/19 13:12:43
8179d58a-dbc6-4b82-adfd-f08f26da7958,method,Library.add_member,2025/12/19 13:12:33
8179d58a-dbc6-4b82-adfd-f08f26da7958,method,Library.borrow_book,2025/12/19 13:11:47
8179d58a-dbc6-4b82-adfd-f08f26da7958,method,Library.__init__,2025/12/19 13:11:43
8179d58a-dbc6-4b82-adfd-f08f26da7958,method,Library.borrow_book,2025/12/19 13:11:33
8179d58a-dbc6-4b82-adfd-f08f26da7958,method,Library.add_member,2025/12/19 13:11:11
8179d58a-dbc6-4b82-adfd-f08f26da7958,method,Library.__init__,2025/12/19 13:11:00
8179d58a-dbc6-4b82-adfd-f08f26da7958,method,Library.borrow_book,2025/12/19 13:09:04
8179d58a-dbc6-4b82-adfd-f08f26da7958,file,library.py,2025/12/19 13:09:01
8179d58a-dbc6-4b82-adfd-f08f26da7958,file,member.py,2025/12/19 13:09:00
8179d58a-dbc6-4b82-adfd-f08f26da7958,file,main.py,2025/12/19 13:08:44
8179d58a-dbc6-4b82-adfd-f08f26da7958,method,Library.borrow_book,2025/12/19 13:07:51
8179d58a-dbc6-4b82-adfd-f08f26da7958,file,library.py,2025/12/19 13:07:49
8179d58a-dbc6-4b82-adfd-f08f26da7958,method,Member.__init__,2025/12/19 13:07:43
8179d58a-dbc6-4b82-adfd-f08f26da7958,file,member.py,2025/12/19 13:07:41
8179d58a-dbc6-4b82-adfd-f08f26da7958,method,Library.borrow_book,2025/12/19 13:05:38
8179d58a-dbc6-4b82-adfd-f08f26da7958,file,library.py,2025/12/19 13:05:36
8179d58a-dbc6-4b82-adfd-f08f26da7958,file,main.py,2025/12/19 13:05:14
8179d58a-dbc6-4b82-adfd-f08f26da7958,method,Library.add_member,2025/12/19 13:04:33
8179d58a-dbc6-4b82-adfd-f08f26da7958,file,library.py,2025/12/19 13:04:30
8179d58a-dbc6-4b82-adfd-f08f26da7958,file,main.py,2025/12/19 13:04:23
8179d58a-dbc6-4b82-adfd-f08f26da7958,method,Library.add_member,2025/12/19 13:04:17
8179d58a-dbc6-4b82-adfd-f08f26da7958,file,library.py,2025/12/19 13:04:15
8179d58a-dbc6-4b82-adfd-f08f26da7958,file,main.py,2025/12/19 13:04:09
8179d58a-dbc6-4b82-adfd-f08f26da7958,method,Member.__str__,2025/12/19 13:04:07
8179d58a-dbc6-4b82-adfd-f08f26da7958,method,Member._random_id,2025/12/19 13:03:27
8179d58a-dbc6-4b82-adfd-f08f26da7958,method,Member._random_id,2025/12/19 13:03:24
8179d58a-dbc6-4b82-adfd-f08f26da7958,method,Member.__init__,2025/12/19 13:03:13
8179d58a-dbc6-4b82-adfd-f08f26da7958,file,member.py,2025/12/19 13:03:12
8179d58a-dbc6-4b82-adfd-f08f26da7958,file,main.py,2025/12/19 13:03:02
8179d58a-dbc6-4b82-adfd-f08f26da7958,file,member.py,2025/12/19 13:02:56
8179d58a-dbc6-4b82-adfd-f08f26da7958,file,main.py,2025/12/19 13:02:40
8179d58a-dbc6-4b82-adfd-f08f26da7958,file,book.py,2025/12/19 13:02:25
8179d58a-dbc6-4b82-adfd-f08f26da7958,method,Library.add_book,2025/12/19 13:02:17
8179d58a-dbc6-4b82-adfd-f08f26da7958,file,library.py,2025/12/19 13:02:14
8179d58a-dbc6-4b82-adfd-f08f26da7958,file,main.py,2025/12/19 13:02:06
8179d58a-dbc6-4b82-adfd-f08f26da7958,method,Book.__str__,2025/12/19 13:01:54
8179d58a-dbc6-4b82-adfd-f08f26da7958,method,Book.__del__,2025/12/19 13:01:44
8179d58a-dbc6-4b82-adfd-f08f26da7958,method,Book.__init__,2025/12/19 13:01:19
8179d58a-dbc6-4b82-adfd-f08f26da7958,file,book.py,2025/12/19 13:01:17
8179d58a-dbc6-4b82-adfd-f08f26da7958,file,main.py,2025/12/19 13:01:12
8179d58a-dbc6-4b82-adfd-f08f26da7958,method,Library.remove_book,2025/12/19 13:01:01
8179d58a-dbc6-4b82-adfd-f08f26da7958,method,Library.add_book,2025/12/19 13:00:44
8179d58a-dbc6-4b82-adfd-f08f26da7958,method,Library.__init__,2025/12/19 13:00:42
8179d58a-dbc6-4b82-adfd-f08f26da7958,method,Library.add_book,2025/12/19 13:00:34
8179d58a-dbc6-4b82-adfd-f08f26da7958,method,Library.__init__,2025/12/19 13:00:25
8179d58a-dbc6-4b82-adfd-f08f26da7958,file,library.py,2025/12/19 13:00:21
4813a711-2dc9-41db-9945-8b8d96addf05,method,Library.remove_book,2025/12/18 15:02:43
4813a711-2dc9-41db-9945-8b8d96addf05,method,Library.add_book,2025/12/18 15:02:38
4813a711-2dc9-41db-9945-8b8d96addf05,file,library.py,2025/12/18 15:02:37
4813a711-2dc9-41db-9945-8b8d96addf05,method,Book.__init__,2025/12/18 15:02:26
4813a711-2dc9-41db-9945-8b8d96addf05,file,book.py,2025/12/18 15:02:24
4813a711-2dc9-41db-9945-8b8d96addf05,method,Library.return_book,2025/12/18 15:02:09
4813a711-2dc9-41db-9945-8b8d96addf05,uncheck,Library.borrow_book-line-13,2025/12/18 15:01:04
4813a711-2dc9-41db-9945-8b8d96addf05,uncheck,Library.borrow_book-line-12,2025/12/18 15:01:02
4813a711-2dc9-41db-9945-8b8d96addf05,check,Library.borrow_book-line-13,2025/12/18 15:01:01
4813a711-2dc9-41db-9945-8b8d96addf05,check,Library.borrow_book-line-12,2025/12/18 15:01:00
4813a711-2dc9-41db-9945-8b8d96addf05,method,Library.borrow_book,2025/12/18 15:00:39
4813a711-2dc9-41db-9945-8b8d96addf05,file,library.py,2025/12/18 15:00:37
4813a711-2dc9-41db-9945-8b8d96addf05,file,member.py,2025/12/18 15:00:35
4813a711-2dc9-41db-9945-8b8d96addf05,check,Book.__init__-line-1,2025/12/18 15:00:28
4813a711-2dc9-41db-9945-8b8d96addf05,check,Book.__init__-line-2,2025/12/18 15:00:27
4813a711-2dc9-41db-9945-8b8d96addf05,check,Book-classvar-0-line-1,2025/12/18 15:00:26
4813a711-2dc9-41db-9945-8b8d96addf05,method,Book.__init__,2025/12/18 15:00:06
4813a711-2dc9-41db-9945-8b8d96addf05,method,Book.__del__,2025/12/18 15:00:03
4813a711-2dc9-41db-9945-8b8d96addf05,method,Book.__init__,2025/12/18 14:59:59
4813a711-2dc9-41db-9945-8b8d96addf05,file,book.py,2025/12/18 14:59:58
4813a711-2dc9-41db-9945-8b8d96addf05,uncheck,Library.add_book-line-1,2025/12/18 14:59:19
4813a711-2dc9-41db-9945-8b8d96addf05,method,Library.add_book,2025/12/18 14:59:10
4813a711-2dc9-41db-9945-8b8d96addf05,method,Library.__init__,2025/12/18 14:59:09
4813a711-2dc9-41db-9945-8b8d96addf05,method,Library.add_book,2025/12/18 14:59:06
4813a711-2dc9-41db-9945-8b8d96addf05,file,library.py,2025/12/18 14:59:03
4813a711-2dc9-41db-9945-8b8d96addf05,method,Book.__init__,2025/12/18 14:58:56
4813a711-2dc9-41db-9945-8b8d96addf05,file,book.py,2025/12/18 14:58:52
4813a711-2dc9-41db-9945-8b8d96addf05,method,Library.add_book,2025/12/18 14:58:50
4813a711-2dc9-41db-9945-8b8d96addf05,file,library.py,2025/12/18 14:58:48
4813a711-2dc9-41db-9945-8b8d96addf05,method,Book.__init__,2025/12/18 14:58:27
4813a711-2dc9-41db-9945-8b8d96addf05,file,book.py,2025/12/18 14:58:25
4813a711-2dc9-41db-9945-8b8d96addf05,file,member.py,2025/12/18 14:58:24
4813a711-2dc9-41db-9945-8b8d96addf05,method,Book.__init__,2025/12/18 14:58:13
4813a711-2dc9-41db-9945-8b8d96addf05,file,book.py,2025/12/18 14:58:12
4813a711-2dc9-41db-9945-8b8d96addf05,file,main.py,2025/12/18 14:58:06
4813a711-2dc9-41db-9945-8b8d96addf05,method,Library.add_book,2025/12/18 14:58:03
4813a711-2dc9-41db-9945-8b8d96addf05,file,library.py,2025/12/18 14:58:02
4813a711-2dc9-41db-9945-8b8d96addf05,uncheck,Book-classvar-0-line-1,2025/12/18 14:58:00
4813a711-2dc9-41db-9945-8b8d96addf05,method,Book.__init__,2025/12/18 14:56:53
4813a711-2dc9-41db-9945-8b8d96addf05,method,Book.__del__,2025/12/18 14:56:50
4813a711-2dc9-41db-9945-8b8d96addf05,method,Book.__init__,2025/12/18 14:56:49
4813a711-2dc9-41db-9945-8b8d96addf05,file,book.py,2025/12/18 14:56:47
4813a711-2dc9-41db-9945-8b8d96addf05,method,Member.__init__,2025/12/18 14:56:46
4813a711-2dc9-41db-9945-8b8d96addf05,file,member.py,2025/12/18 14:56:43
4813a711-2dc9-41db-9945-8b8d96addf05,method,Library.remove_book,2025/12/18 14:55:38
4813a711-2dc9-41db-9945-8b8d96addf05,file,library.py,2025/12/18 14:55:37
4813a711-2dc9-41db-9945-8b8d96addf05,file,main.py,2025/12/18 14:55:32
4813a711-2dc9-41db-9945-8b8d96addf05,method,Library.remove_book,2025/12/18 14:54:58
4813a711-2dc9-41db-9945-8b8d96addf05,method,Library.add_book,2025/12/18 14:54:54
