,bug_report,Book → Book.__init__,Book → Book.__del__,Book → Book.__str__,Member → Member.__init__,Member → Member.__str__,Member → Member._random_id,Library → Library.__init__,Library → Library.add_book,Library → Library.remove_book,Library → Library.add_member,Library → Library.remove_member,Library → Library.borrow_book,Library → Library.return_book,"main → Book | book1 = Book(""The Hitchhiker's Guide to the Galaxy...","main → Book | book2 = Book(""Pride and Prejudice"", ""Jane Austen"",...","main → Book | book3 = Book(""1984"", ""George Orwell"", ""978-0451524...","main → Book | book4 = Book(""To Kill a Mockingbird"", ""Harper Lee""...","main → Book | book5 = Book(""The Great Gatsby"", ""F. Scott Fitzger...","main → Member | member1 = Member(""Alice"")...","main → Member | member2 = Member(""Bob"")...",main → Library | library = Library(max_borrowed_books=3)...,"main → Library | library.add_book([book1, book2, book3, book4, book...",main → Library | library.add_member(member1)...,main → Library | library.add_member(member2)...,"main → Library | library.borrow_book(member1.member_id, [book1.isbn...","main → Library | library.borrow_book(member2.member_id, [book4.isbn...","main → Library | library.return_book(member1.member_id, [book1.isbn...",main → Library | library.remove_book([book5.isbn])...,Book.__init__ → Book,Book.__del__ → Book,Member.__init__ → Member._random_id,Library.add_book → Book,Library.remove_book → Book,Library.remove_book → Book,Library.remove_book → Book,Library.add_member → Member,Library.remove_member → Member,Library.borrow_book → Book,Library.borrow_book → Book,Library.borrow_book → Book,Library.borrow_book → Member,Library.borrow_book → Member,Library.return_book → Book,Library.return_book → Book,Library.return_book → Member,Library.return_book → Member
Library → Library.add_member,0.07670617207914757,0.41162592203250425,0.4453864802176497,0.4453864802176497,0.42992507191214124,0.4453864802176497,0.2414038726569093,0.34662218805180145,0.7264437695313775,0.4475797401143067,1.0,0.7354607219998718,0.577559648493733,0.5623099902177959,0.12019337968799622,0.15402937838609318,0.2040580488386266,0.1486774969823904,0.15750420169659385,0.4354963108595611,0.4354963108595611,0.059366079879619976,0.29521924930165044,0.6743239652937769,0.6743239652937769,0.2836896510409782,0.3407770149821278,0.33440480591654304,0.07316790789310017,0.23700686617148894,0.10319191039430707,0.30354207006374456,0.0581603801064114,0.05494062255850993,0.05160794227894495,0.06477402708244627,0.42738007936285216,0.27012049552653367,0.052549682588046626,0.04961111979346163,0.06686327055138626,0.3709429421724334,0.23398903320804176,0.06686327055138626,0.0,0.3709429421724334,0.25215313731123185
Library → Library.remove_member,0.07075526347652554,0.37969174810504064,0.4108331429205683,0.4108331429205683,0.3965712394945232,0.4108331429205683,0.31186736745285804,0.3197310409012336,0.4663914909960914,0.637034749571237,0.7354607219998718,1.0,0.6261453592581881,0.609612862944338,0.11086870870290928,0.14207969131334316,0.18822710896308348,0.13714301192301487,0.1452849358484917,0.4017102585451498,0.4017102585451498,0.054760425525038826,0.18608586556969003,0.41919256106205,0.41919256106205,0.30996800841814043,0.39246899221973874,0.3851301918892214,0.26600148821534325,0.06495448173926212,0.09518622309898939,0.419800865368272,0.05364826462827376,0.050678297708307604,0.047604168666640245,0.059748821097800484,0.4826721797093256,0.34173536992712494,0.04847284822515347,0.04576226080907645,0.06167597986618393,0.4513267732097255,0.2158360304848687,0.06167597986618393,0.0,0.4513267732097255,0.46490111608216683
Library → Library.borrow_book,0.1240594578455277,0.46719321084519694,0.3579570553307213,0.3579570553307213,0.4109993301318345,0.3579570553307213,0.27172862372681794,0.331363524496274,0.5458423849639915,0.7061523843053714,0.577559648493733,0.6261453592581881,1.0,0.8151250541677338,0.21426626758353015,0.27458500701678423,0.36377008957172086,0.26504431803792516,0.28077950311287486,0.2107950566828946,0.2107950566828946,0.047712510559037476,0.45121806733118924,0.2199687904166158,0.2199687904166158,0.48200420648320746,0.5127188224600284,0.36951037551119864,0.1567598355022062,0.10373087474608222,0.12310986511512369,0.28521364249190473,0.15498126710236657,0.04415577109451172,0.041477296393957544,0.05205887701174553,0.2676585600921091,0.24441327016531927,0.042234172956011125,0.03987245042608604,0.11595502792195048,0.2674413612730523,0.17914654918660805,0.11595502792195048,0.05484171105455952,0.2674413612730523,0.19305334013547965
Library → Library.return_book,0.03001049561259346,0.4548576246718766,0.34850569773416745,0.34850569773416745,0.4001474651296736,0.34850569773416745,0.2645540077950582,0.322614332050339,0.531430176865777,0.6875074139036486,0.5623099902177959,0.609612862944338,0.8151250541677338,1.0,0.2086088651503254,0.26733497226172087,0.35416524690059026,0.2580461918900923,0.2733659113141306,0.20522930673991568,0.20522930673991568,0.0464527281566312,0.4393042825772253,0.21416082080867493,0.21416082080867493,0.38734291920766967,0.3666092154558223,0.5337855449789471,0.15262081033132519,0.10099200544199,0.11985932055526995,0.2776829734173251,0.15088920255345536,0.04298989944496363,0.040382146139144565,0.05068433485540102,0.26059140852312557,0.23795987810815955,0.041119038429515586,0.038819673894332454,0.11289339687518653,0.26037994453644014,0.1744164340140299,0.11289339687518653,0.05339369204036624,0.26037994453644014,0.1879560355128797
"main → Book | book1 = Book(""The Hitchhiker's Guide to the Galaxy...",0.1825732934415073,0.18128378816892193,0.0466212793961363,0.0466212793961363,0.1113485185357035,0.0466212793961363,0.06300248675429501,0.12167369904332462,0.20241008028700036,0.17917622429148342,0.12019337968799622,0.11086870870290928,0.21426626758353015,0.2086088651503254,1.0000000000000004,0.22079385188134384,0.2925075922694213,0.2882727417893861,0.3849990625418423,0.08533200481909473,0.08533200481909473,0.08647235634761666,0.34876597308362123,0.042713220454498727,0.042713220454498727,0.2261272270852543,0.1690060853204271,0.16584583077956755,0.1456508552135059,0.08626884530849073,0.07352738886407519,0.04737116211938633,0.16408910831052997,0.0,0.0,0.0,0.032508409191003534,0.0,0.0,0.0,0.1174889093889124,0.04012138936767578,0.09734438715464691,0.1174889093889124,0.10356156848545214,0.04012138936767578,0.10490103866902001
"main → Book | book2 = Book(""Pride and Prejudice"", ""Jane Austen"",...",0.0,0.23231753092906765,0.05974577554597561,0.05974577554597561,0.1426945738508063,0.05974577554597561,0.08073850570416481,0.15592642688165942,0.2593911488853787,0.22961666042527187,0.15402937838609318,0.14207969131334316,0.27458500701678423,0.26733497226172087,0.22079385188134384,1.0000000000000004,0.37485228161007766,0.27311884674541115,0.289333401476522,0.10935407335115421,0.10935407335115421,0.11081544865764628,0.4469481278897439,0.054737547213939065,0.054737547213939065,0.28978498079117715,0.21658349513881114,0.21253358786659693,0.1866534641772763,0.1105546466156982,0.09422630456423653,0.06070676000306055,0.21028232518802725,0.0,0.0,0.0,0.04165994893403525,0.0,0.0,0.0,0.1505635645441588,0.051416081986641195,0.12474809745534515,0.1505635645441588,0.132715496143887,0.051416081986641195,0.13443204459503494
"main → Book | book3 = Book(""1984"", ""George Orwell"", ""978-0451524...",0.0,0.30777415691156873,0.07915117565236542,0.07915117565236542,0.18904170506270004,0.07915117565236542,0.10696233480109729,0.20657125780313448,0.34364127338670764,0.3041960449244589,0.2040580488386266,0.18822710896308348,0.36377008957172086,0.35416524690059026,0.2925075922694213,0.37485228161007766,1.0000000000000002,0.361827721126195,0.3833087556917174,0.14487222550920387,0.14487222550920387,0.14680825483548104,0.5921166719289479,0.0725162770876772,0.0725162770876772,0.383907007757719,0.2869297136153752,0.28156439834497343,0.24727842251958573,0.14646274441162116,0.1248309644570265,0.08042428741410647,0.2785819265955865,0.0,0.0,0.0,0.055191080969548265,0.0,0.0,0.0,0.19946654027296662,0.06811600149954339,0.16526622148185535,0.19946654027296662,0.175821427558374,0.06811600149954339,0.17809551014799663
"main → Book | book4 = Book(""To Kill a Mockingbird"", ""Harper Lee""...",0.16350227146446494,0.22424546125923592,0.05766985789672816,0.05766985789672816,0.13773652984515466,0.05766985789672816,0.07793317783899775,0.15050863091885294,0.2503783833951163,0.22163843479204232,0.1486774969823904,0.13714301192301487,0.26504431803792516,0.2580461918900923,0.2882727417893861,0.27311884674541115,0.361827721126195,1.0,0.279280267022192,0.10555447331563249,0.10555447331563249,0.1069650718975244,0.4314185360733243,0.052835644706196234,0.052835644706196234,0.27971615583051834,0.20905811788852546,0.2051489280797198,0.18016803124017072,0.10671333164374278,0.09095233168697858,0.05859745213371997,0.2029758874324959,0.0,0.0,0.0,0.04021243867128268,0.0,0.0,0.0,0.14533210578218644,0.049629586605573005,0.12041361899471639,0.14533210578218644,0.12810418365767248,0.049629586605573005,0.12976108917686474
"main → Book | book5 = Book(""The Great Gatsby"", ""F. Scott Fitzger...",0.07974943076251773,0.23755849457099568,0.06109360941861976,0.06109360941861976,0.1459136898187736,0.06109360941861976,0.08255992473873747,0.1594440466275065,0.26524287938074664,0.23479669382205076,0.15750420169659385,0.1452849358484917,0.28077950311287486,0.2733659113141306,0.3849990625418423,0.289333401476522,0.3833087556917174,0.279280267022192,1.0,0.11182104482867528,0.11182104482867528,0.11331538800813805,0.4570310470682073,0.05597239803922683,0.05597239803922683,0.2963223804537411,0.221469507050718,0.21732823595984585,0.1908642700320084,0.113048702406675,0.09635200138255018,0.06207627318927134,0.21502618595670522,0.0,0.0,0.0,0.04259977588904245,0.0,0.0,0.0,0.1539602008824468,0.052576002269991026,0.12756235017466655,0.1539602008824468,0.13570948926713056,0.052576002269991026,0.13746476216574527
"main → Member | member1 = Member(""Alice"")...",0.07974220699334517,0.05728955659837424,0.10546032072698296,0.10546032072698296,0.0825111287296688,0.10546032072698296,0.14251566121233655,0.1386840103061572,0.09703802121669519,0.08589940891121205,0.4354963108595611,0.4017102585451498,0.2107950566828946,0.20522930673991568,0.08533200481909473,0.10935407335115421,0.14487222550920387,0.10555447331563249,0.11182104482867528,1.0,0.5531692120481244,0.19560600979975198,0.04107918842821717,0.47243608930056,0.47243608930056,0.18096525026299257,0.2928056117074465,0.28733042267958864,0.07606389809755248,0.07320464193757313,0.06239269988084061,0.3155562834922343,0.09117048568297827,0.0,0.0,0.0,0.46906429673967154,0.13798777391957345,0.0,0.0,0.10481287844695958,0.4161937813960457,0.2432503332456182,0.10481287844695958,0.0923881764321368,0.4161937813960457,0.2621333736840161
"main → Member | member2 = Member(""Bob"")...",0.07974220699334517,0.05728955659837424,0.10546032072698296,0.10546032072698296,0.0825111287296688,0.10546032072698296,0.14251566121233655,0.1386840103061572,0.09703802121669519,0.08589940891121205,0.4354963108595611,0.4017102585451498,0.2107950566828946,0.20522930673991568,0.08533200481909473,0.10935407335115421,0.14487222550920387,0.10555447331563249,0.11182104482867528,0.5531692120481244,1.0,0.19560600979975198,0.04107918842821717,0.47243608930056,0.47243608930056,0.18096525026299257,0.2928056117074465,0.28733042267958864,0.07606389809755248,0.07320464193757313,0.06239269988084061,0.3155562834922343,0.09117048568297827,0.0,0.0,0.0,0.46906429673967154,0.13798777391957345,0.0,0.0,0.10481287844695958,0.4161937813960457,0.2432503332456182,0.10481287844695958,0.0923881764321368,0.4161937813960457,0.2621333736840161
main → Library | library = Library(max_borrowed_books=3)...,0.03327612602613912,0.03818609080465529,0.0702940923735989,0.0702940923735989,0.05499741385945981,0.0702940923735989,0.1444201981143623,0.6311089832233437,0.14343278358505251,0.05725585645120604,0.059366079879619976,0.054760425525038826,0.047712510559037476,0.0464527281566312,0.08647235634761666,0.11081544865764628,0.14680825483548104,0.1069650718975244,0.11331538800813805,0.19560600979975198,0.19560600979975198,1.0000000000000002,0.13563046904896672,0.3190087727309038,0.3190087727309038,0.12219536928012094,0.19771469825220936,0.19401761970168513,0.2511388995595984,0.048794217835328335,0.041587567519504876,0.07142474185598682,0.18974952638420475,0.06443483036769311,0.15879022211635294,0.07596753099848713,0.09803030496758672,0.15106547390715463,0.061630715593564506,0.15264628628021745,0.2181428989358666,0.12098752702193155,0.23093125016456412,0.2181428989358666,0.23538103840449218,0.12098752702193155,0.24885798464078834
"main → Library | library.add_book([book1, book2, book3, book4, book...",0.01248118420181497,0.33845504783989755,0.04678906533229688,0.04678906533229688,0.18689119494611142,0.04678906533229688,0.030329663885346865,0.15067889535196818,0.5367900656647127,0.3850144387780974,0.29521924930165044,0.18608586556969003,0.45121806733118924,0.4393042825772253,0.34876597308362123,0.4469481278897439,0.5921166719289479,0.4314185360733243,0.4570310470682073,0.04107918842821717,0.04107918842821717,0.13563046904896672,1.0,0.2584257215937973,0.2584257215937973,0.6756413499908941,0.5730714339452289,0.5623555381363375,0.566225282487515,0.31618359763644643,0.2229902388519956,0.08016019215104445,0.5146655389564248,0.024168167478394086,0.12597906078311186,0.12962466893994112,0.11451316256046129,0.11985049372645926,0.023116402228093087,0.12110465947658242,0.34803539901569386,0.11586188601314854,0.2700768611154081,0.34803539901569386,0.21476083823512054,0.11586188601314854,0.29104239165290713
main → Library | library.add_member(member1)...,0.11256885150355583,0.05978277985619973,0.11004992029846422,0.11004992029846422,0.08610198677418858,0.11004992029846422,0.07133669094598644,0.06941874526772322,0.34081823614627393,0.08963772383014744,0.6743239652937769,0.41919256106205,0.2199687904166158,0.21416082080867493,0.042713220454498727,0.054737547213939065,0.0725162770876772,0.052835644706196234,0.05597239803922683,0.47243608930056,0.47243608930056,0.3190087727309038,0.2584257215937973,1.0,1.0,0.3976719730511341,0.5576935738965338,0.5472652295799775,0.34519211492477625,0.36193405731805783,0.1991207377543328,0.40600943229132075,0.1203518415540111,0.05684458293551978,0.10679281807856413,0.06701876285865634,0.5098145961519025,0.24559057176485394,0.05437078524056085,0.10266077384252789,0.06918040879770944,0.3995026325821297,0.37211793824420936,0.06918040879770944,0.06097964208553355,0.3995026325821297,0.4010047150143097
main → Library | library.add_member(member2)...,0.11256885150355583,0.05978277985619973,0.11004992029846422,0.11004992029846422,0.08610198677418858,0.11004992029846422,0.07133669094598644,0.06941874526772322,0.34081823614627393,0.08963772383014744,0.6743239652937769,0.41919256106205,0.2199687904166158,0.21416082080867493,0.042713220454498727,0.054737547213939065,0.0725162770876772,0.052835644706196234,0.05597239803922683,0.47243608930056,0.47243608930056,0.3190087727309038,0.2584257215937973,1.0,1.0,0.3976719730511341,0.5576935738965338,0.5472652295799775,0.34519211492477625,0.36193405731805783,0.1991207377543328,0.40600943229132075,0.1203518415540111,0.05684458293551978,0.10679281807856413,0.06701876285865634,0.5098145961519025,0.24559057176485394,0.05437078524056085,0.10266077384252789,0.06918040879770944,0.3995026325821297,0.37211793824420936,0.06918040879770944,0.06097964208553355,0.3995026325821297,0.4010047150143097
"main → Library | library.borrow_book(member1.member_id, [book1.isbn...",0.13630398198047236,0.3425713842897584,0.04215429730975541,0.04215429730975541,0.1345290625883607,0.04215429730975541,0.06750503086936545,0.10846252307068223,0.28743604718806226,0.2544423952967194,0.2836896510409782,0.30996800841814043,0.48200420648320746,0.38734291920766967,0.2261272270852543,0.28978498079117715,0.383907007757719,0.27971615583051834,0.2963223804537411,0.18096525026299257,0.18096525026299257,0.12219536928012094,0.6756413499908941,0.3976719730511341,0.3976719730511341,1.0000000000000002,0.9208159913878557,0.8345113190875361,0.7193199794353536,0.46570106659731364,0.6002582125553292,0.33605214118576926,0.6948269380639891,0.25875243764745504,0.4179166070568009,0.39617771434118526,0.44984848767638325,0.360503269996467,0.10413284443003128,0.2664040639630009,0.35522128843129586,0.37542639492726343,0.4337672773928425,0.35522128843129586,0.2302098781880803,0.37542639492726343,0.46743976996695236
"main → Library | library.borrow_book(member2.member_id, [book4.isbn...",0.18415395393012687,0.2094639653380594,0.06820654679250676,0.06820654679250676,0.10813305084710484,0.06820654679250676,0.10922457117214135,0.08718103952076514,0.23171276024026885,0.20511536501117408,0.3407770149821278,0.39246899221973874,0.5127188224600284,0.3666092154558223,0.1690060853204271,0.21658349513881114,0.2869297136153752,0.20905811788852546,0.221469507050718,0.2928056117074465,0.2928056117074465,0.19771469825220936,0.5730714339452289,0.5576935738965338,0.5576935738965338,0.9208159913878557,1.0000000000000002,0.8695178749775582,0.7100838543170546,0.39564661700819703,0.48379523315584505,0.44864041767275437,0.6228160610223479,0.18653035806523394,0.3919548219384222,0.36733900844633366,0.607536746099723,0.4573659519124238,0.10109349005246125,0.303793594631326,0.3849050595612435,0.5331945827203457,0.46623762762857207,0.3849050595612435,0.20513915974852182,0.5331945827203457,0.5024307290272179
"main → Library | library.return_book(member1.member_id, [book1.isbn...",0.10417147776011382,0.20554718656437795,0.06693114863859592,0.06693114863859592,0.10611106469016464,0.06693114863859592,0.10718217461366386,0.08555083623252265,0.22737994996698163,0.2012799009659142,0.33440480591654304,0.3851301918892214,0.36951037551119864,0.5337855449789471,0.16584583077956755,0.21253358786659693,0.28156439834497343,0.2051489280797198,0.21732823595984585,0.28733042267958864,0.28733042267958864,0.19401761970168513,0.5623555381363375,0.5472652295799775,0.5472652295799775,0.8345113190875361,0.8695178749775582,1.0000000000000002,0.6968059553541746,0.38824839808841516,0.4747487181766465,0.4402512646166657,0.611169987561535,0.1830424161371893,0.3846256361076622,0.3604701151323658,0.5961763814302466,0.44881363958813447,0.0992031370489945,0.2981129406767808,0.3777076976439374,0.523224346453356,0.4575194233281812,0.3777076976439374,0.20130325076409536,0.523224346453356,0.4930357478354742
main → Library | library.remove_book([book5.isbn])...,0.046221337839844855,0.12115459469705218,0.0866365386875783,0.0866365386875783,0.06778358483139624,0.0866365386875783,0.056159640717813576,0.05464974253247301,0.21250747050321012,0.3956706573542332,0.07316790789310017,0.26600148821534325,0.1567598355022062,0.15262081033132519,0.1456508552135059,0.1866534641772763,0.24727842251958573,0.18016803124017072,0.1908642700320084,0.07606389809755248,0.07606389809755248,0.2511388995595984,0.566225282487515,0.34519211492477625,0.34519211492477625,0.7193199794353536,0.7100838543170546,0.6968059553541746,1.0,0.42003147799988483,0.5090196383163917,0.20882570283791585,0.6963595820744857,0.19218169199745427,0.41379197211710317,0.4138367860489067,0.2884578361977328,0.3019025351719805,0.08560654339762565,0.3050617697125759,0.4344475836721005,0.2616931641723653,0.3671290710950402,0.4344475836721005,0.21256343543597084,0.2616931641723653,0.6107133688664967
